	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAA1	657.3097585	4.328487777	0.66068233	6.551541615	5.69E-11	8.48E-09
MB21D1	174.8013329	2.903754084	0.444399322	6.53411007	6.40E-11	9.45E-09
EHD4	1771.499689	1.453244908	0.22251898	6.530880675	6.54E-11	9.58E-09
GADD45GIP1	233.0720342	1.634093899	0.251315055	6.502172738	7.92E-11	1.15E-08
RAVER1	705.7186019	1.140427426	0.175464951	6.499459963	8.06E-11	1.16E-08
IFI30	2760.746456	3.27656554	0.50575458	6.478568199	9.26E-11	1.31E-08
IL1RN	2733.172169	2.921699155	0.451739269	6.467666989	9.95E-11	1.40E-08
LGALS3BP	4064.32632	1.611903921	0.249920468	6.449667501	1.12E-10	1.57E-08
TMEM8A	532.6623942	1.142590924	0.177254727	6.446039246	1.15E-10	1.59E-08
TJP3	2662.412777	1.147792548	0.178268399	6.438564297	1.21E-10	1.66E-08
CARD11	528.7695779	2.026245961	0.314856359	6.435461445	1.23E-10	1.68E-08
SNHG8	256.8245857	-1.989487012	0.309426075	-6.429603614	1.28E-10	1.73E-08
LGALS9	2221.121676	1.81963271	0.28348748	6.418741001	1.37E-10	1.85E-08
SOCS1	353.1692999	4.997257618	0.780320017	6.40411307	1.51E-10	2.00E-08
SLFN5	6566.233959	1.700646598	0.265593069	6.403203985	1.52E-10	2.00E-08
KIAA0513	615.9077261	1.406551369	0.21965817	6.403364672	1.52E-10	2.00E-08
PSMB10	805.3965548	1.714916363	0.26800003	6.398940939	1.56E-10	2.04E-08
TRANK1	3356.247445	2.140490925	0.334770416	6.39390705	1.62E-10	2.10E-08
CCR1	1036.357371	4.664872239	0.730248479	6.388061558	1.68E-10	2.16E-08
GRN	1618.429094	1.579666898	0.247817171	6.374323818	1.84E-10	2.35E-08
HLA-F	1323.568773	1.904539946	0.29910595	6.367442528	1.92E-10	2.44E-08
STAT2	5453.413484	1.750893873	0.275687375	6.351012157	2.14E-10	2.70E-08
GNB4	1249.404238	1.831424383	0.288772357	6.342104212	2.27E-10	2.84E-08
TAPBP	4476.268248	1.077537529	0.170181905	6.33168097	2.43E-10	3.02E-08
PNPLA2	1278.455716	1.31553956	0.208206816	6.318426948	2.64E-10	3.27E-08
CCL4	257.0934248	4.576252797	0.725349015	6.309035656	2.81E-10	3.45E-08
MYO1G	302.1238647	4.250604882	0.674575774	6.301152584	2.95E-10	3.56E-08
ABI3	253.1991448	3.521522763	0.558814781	6.301770967	2.94E-10	3.56E-08
NLRC5	2242.01081	2.065058082	0.327734961	6.30100029	2.96E-10	3.56E-08
APOBEC3A	1256.365344	5.241164718	0.832243683	6.297632323	3.02E-10	3.61E-08
SP100	3555.102273	1.310526782	0.208570884	6.283363998	3.31E-10	3.93E-08
CYSRT1	96.07132112	3.409694257	0.543053886	6.27874019	3.41E-10	4.03E-08
CCDC85B	103.1889839	2.806981641	0.447345969	6.274744455	3.50E-10	4.10E-08
TICAM1	408.1377225	2.916459222	0.465985152	6.258695604	3.88E-10	4.52E-08
CD80	135.8857862	6.87273355	1.099503048	6.250763525	4.08E-10	4.73E-08
CEBPB	2323.126798	2.256409632	0.361800342	6.236615526	4.47E-10	5.14E-08
NACC1	1337.154162	1.071373816	0.172084623	6.225854471	4.79E-10	5.47E-08
SLAMF7	692.3099042	3.895764583	0.628297844	6.20050605	5.63E-10	6.39E-08
FGD2	538.4447194	2.664450989	0.430556636	6.188386774	6.08E-10	6.86E-08
SEC14L2	381.7372475	-3.093107046	0.500319256	-6.182266636	6.32E-10	7.08E-08
OGFR	1456.057239	1.692045775	0.27409656	6.173174055	6.69E-10	7.46E-08
SNX8	622.7344133	1.507003207	0.244263657	6.169576052	6.85E-10	7.58E-08
BIRC3	917.7347937	2.300080876	0.373053825	6.165546959	7.02E-10	7.73E-08
DUOXA2	692.769944	3.436057828	0.558217914	6.155405879	7.49E-10	8.19E-08
CCL2	587.9803169	5.466615428	0.889693379	6.144381379	8.03E-10	8.73E-08
PPM1K	1153.188303	1.621667496	0.264301457	6.135673684	8.48E-10	9.17E-08
IFI16	5157.110902	1.57256539	0.256488492	6.131134295	8.73E-10	9.38E-08
GZMB	396.3910931	6.566403392	1.077675846	6.093115489	1.11E-09	1.18E-07
FPR3	773.677377	3.790049219	0.62253989	6.08804236	1.14E-09	1.21E-07
LAG3	448.8777124	3.927021155	0.645194632	6.086568242	1.15E-09	1.22E-07
AGRN	3764.045745	1.823414432	0.299826062	6.081574155	1.19E-09	1.25E-07
MMP12	129.5284624	8.977868422	1.4794701	6.068300008	1.29E-09	1.34E-07
CPTP	297.1368204	1.297244048	0.213798744	6.067594323	1.30E-09	1.34E-07
TMEM54	272.8020956	1.192628743	0.196551392	6.067770524	1.30E-09	1.34E-07
Z83844.1	34.45765867	21.91501026	3.612828922	6.06588652	1.31E-09	1.35E-07
GIMAP4	590.9079375	3.391922884	0.563170656	6.022904156	1.71E-09	1.75E-07
MIDN	2749.539108	1.352857112	0.224862425	6.01637697	1.78E-09	1.81E-07
CMKLR1	178.1061414	4.271756775	0.710682499	6.010780874	1.85E-09	1.84E-07
EIF3L	1307.223066	-1.473389837	0.24508386	-6.011778326	1.83E-09	1.84E-07
ABCD1	286.249996	1.954675264	0.325507747	6.005003827	1.91E-09	1.90E-07
RARRES3	2244.165223	1.724758177	0.288398336	5.980472011	2.22E-09	2.20E-07
PSME2	1816.218027	1.516289987	0.254214438	5.964610025	2.45E-09	2.38E-07
MISP	2071.45176	1.292331008	0.216655265	5.964918549	2.45E-09	2.38E-07
NFKBIB	289.2931707	1.501604197	0.251945033	5.960046841	2.52E-09	2.44E-07
PSMB8	2585.533822	1.446444759	0.243249724	5.946336701	2.74E-09	2.62E-07
RPL21P75	20.55555964	-2.278169658	0.383509388	-5.940323048	2.84E-09	2.71E-07
WARS	5242.822929	2.627434922	0.442664798	5.935495519	2.93E-09	2.77E-07
NFKBIE	261.5691664	2.027703684	0.34233304	5.923190127	3.16E-09	2.96E-07
MFSD12	379.5186802	1.356095513	0.228962472	5.922785087	3.17E-09	2.96E-07
ZNFX1	7177.030544	1.921190032	0.324537988	5.919769334	3.22E-09	3.00E-07
SBNO2	2684.651676	2.140777437	0.362240782	5.909818955	3.42E-09	3.17E-07
KRT7	4684.413517	1.563124773	0.264577355	5.90800664	3.46E-09	3.19E-07
MLKL	442.964047	2.675661391	0.453515782	5.899819806	3.64E-09	3.34E-07
FERMT3	557.3091852	3.665357003	0.622775029	5.885523396	3.97E-09	3.62E-07
IFI27	3205.79601	2.006683413	0.341388329	5.87800824	4.15E-09	3.77E-07
TNF	174.3080023	4.826004831	0.823026348	5.863730664	4.53E-09	4.09E-07
IL4I1	225.3368348	4.851400421	0.828451845	5.855983606	4.74E-09	4.26E-07
GNA15	684.8266336	1.538363291	0.263427346	5.839801059	5.23E-09	4.68E-07
CD274	593.5917606	3.490702229	0.598696291	5.830505852	5.53E-09	4.91E-07
DTX2	1029.230393	1.21859063	0.209105202	5.827643791	5.62E-09	4.96E-07
LILRB1	199.4862951	4.37569045	0.754030926	5.803064969	6.51E-09	5.65E-07
BCAR1	726.5340399	1.042973499	0.179745419	5.802503931	6.53E-09	5.65E-07
PITPNM1	1613.479627	1.035844931	0.178520069	5.802400456	6.54E-09	5.65E-07
UNC13D	322.9508187	3.444160962	0.595262664	5.785951593	7.21E-09	6.21E-07
PHLDA2	189.8797021	2.241794994	0.387757533	5.781435049	7.41E-09	6.35E-07
RPL5	2804.873357	-1.498792789	0.259444029	-5.776940761	7.61E-09	6.49E-07
UBE2L6	3513.361476	2.282025203	0.395344877	5.772239222	7.82E-09	6.64E-07
TRIM21	964.3143169	2.141033239	0.372581645	5.746480715	9.11E-09	7.63E-07
RPL7	3623.679588	-1.500943103	0.261178631	-5.746806676	9.09E-09	7.63E-07
GDF15	852.4607203	2.448346359	0.426463289	5.74104835	9.41E-09	7.80E-07
AC115223.1	41.11748043	-2.451588516	0.427014224	-5.741233852	9.40E-09	7.80E-07
ATP10A	165.8380197	3.142537568	0.547736042	5.737321133	9.62E-09	7.94E-07
ALPL	1413.572585	2.476885771	0.431995581	5.733590526	9.83E-09	8.08E-07
CLIC3	37.47654522	4.541732399	0.793302857	5.725092702	1.03E-08	8.42E-07
CD86	192.5698647	2.962345441	0.517393663	5.725515512	1.03E-08	8.42E-07
MED25	1145.509082	1.117026123	0.195445163	5.715291721	1.10E-08	8.84E-07
CCNB1IP1	134.9938847	-1.439101697	0.252737669	-5.694053066	1.24E-08	9.97E-07
SERPINB9	1033.594261	3.049400763	0.536939176	5.67922942	1.35E-08	1.08E-06
SCRIB	1112.558698	1.086981965	0.19168901	5.670549227	1.42E-08	1.12E-06
SHARPIN	240.0576077	1.00659214	0.177565917	5.66883643	1.44E-08	1.13E-06
PLEKHF1	188.4833547	2.05019837	0.362504843	5.655644079	1.55E-08	1.21E-06
APOL3	630.0563832	2.68029898	0.474128301	5.653109035	1.58E-08	1.22E-06
UBALD2	969.5823037	1.66315581	0.294601403	5.6454443	1.65E-08	1.27E-06
RPS6KA4	324.7288436	1.2283823	0.217610959	5.644854961	1.65E-08	1.27E-06
AL645939.2	13.85369034	5.769091559	1.024729852	5.62986581	1.80E-08	1.38E-06
FAM222A	431.8632898	1.736285519	0.308591488	5.626485456	1.84E-08	1.40E-06
RHBDF2	560.2667904	2.2097057	0.393537388	5.61498289	1.97E-08	1.49E-06
TCIRG1	1188.305234	1.742959588	0.310884363	5.606456284	2.07E-08	1.56E-06
WIPF1	2199.164757	3.006764533	0.536726534	5.602041902	2.12E-08	1.59E-06
IFITM2	3022.663721	3.255515521	0.58171629	5.596397383	2.19E-08	1.64E-06
INPP5D	866.8526832	2.042799786	0.366172006	5.578798358	2.42E-08	1.79E-06
ASS1	3286.820468	1.522311432	0.272878873	5.578707552	2.42E-08	1.79E-06
CD300LF	126.0315966	2.906529629	0.521447253	5.573966708	2.49E-08	1.83E-06
TNFRSF14	790.3406815	1.021772137	0.183329558	5.57341734	2.50E-08	1.83E-06
CST7	123.8040004	6.604808208	1.188362162	5.557908541	2.73E-08	1.99E-06
GBP5	2461.627164	3.293433551	0.592689434	5.556761034	2.75E-08	2.00E-06
LY96	249.4809625	3.375131614	0.608745677	5.544403417	2.95E-08	2.13E-06
MICAL1	715.8754265	1.608712607	0.290160103	5.544223993	2.95E-08	2.13E-06
STAT5A	515.9049807	1.599178143	0.289116458	5.531259461	3.18E-08	2.28E-06
TRIM25	2727.639528	1.661323754	0.300818088	5.522685706	3.34E-08	2.39E-06
MDK	2345.140525	1.081656397	0.196230767	5.512165168	3.54E-08	2.52E-06
PRKD2	1578.362771	1.384967177	0.251746996	5.501424838	3.77E-08	2.66E-06
RNU1-3	78.92264523	5.575612295	1.014788147	5.494360881	3.92E-08	2.76E-06
HLA-DMA	743.8607435	1.728977442	0.314934171	5.48996457	4.02E-08	2.82E-06
C1QC	1428.200952	2.902333492	0.529547135	5.48078405	4.23E-08	2.96E-06
WFDC2	6830.951621	1.262616787	0.23054106	5.476754492	4.33E-08	3.00E-06
BATF2	747.8488797	3.321355848	0.606811798	5.473452989	4.41E-08	3.05E-06
CD7	93.19275942	4.180146527	0.764133305	5.470441477	4.49E-08	3.09E-06
FCGR3A	1424.044347	3.38360973	0.619171	5.464741938	4.64E-08	3.16E-06
ADAMDEC1	493.2397184	3.145597259	0.575650279	5.464424102	4.64E-08	3.16E-06
AP5Z1	352.7824493	1.276698568	0.233630881	5.464596815	4.64E-08	3.16E-06
RNU1-2	96.98758644	5.089630785	0.932207581	5.459761206	4.77E-08	3.20E-06
STX11	593.6324508	2.169597281	0.397330967	5.460428366	4.75E-08	3.20E-06
SYNGR2	852.7947198	1.345643612	0.246453398	5.460032696	4.76E-08	3.20E-06
ZC3H3	409.3787138	1.104691753	0.20273021	5.449073193	5.06E-08	3.38E-06
TRIM14	1807.342349	1.423712179	0.262681827	5.419911213	5.96E-08	3.94E-06
LSR	706.3484723	1.285439526	0.237160763	5.420118864	5.96E-08	3.94E-06
GTPBP1	2262.631062	1.249565929	0.230722947	5.41587192	6.10E-08	4.01E-06
AC083862.2	95.68330458	4.033182154	0.745058492	5.413242315	6.19E-08	4.06E-06
S100P	5132.3234	2.045149796	0.377913085	5.411693524	6.24E-08	4.08E-06
C1QB	1272.712056	3.003739173	0.555441293	5.407842755	6.38E-08	4.14E-06
SCAND1	333.873256	1.541247573	0.285124825	5.405518703	6.46E-08	4.18E-06
DUSP10	1002.061792	1.367632097	0.253103094	5.403458621	6.54E-08	4.21E-06
RPS4X	5224.690831	-1.521330708	0.28194624	-5.395818397	6.82E-08	4.38E-06
AP005202.1	43.43796254	-2.538326492	0.470939266	-5.389923235	7.05E-08	4.51E-06
CDC42EP1	416.6785289	1.793315828	0.333536365	5.376672586	7.59E-08	4.84E-06
TRPM2	125.8515649	3.960235585	0.737424637	5.370359747	7.86E-08	4.99E-06
PARVA	1675.91015	-1.095960938	0.204292466	-5.364666452	8.11E-08	5.13E-06
TNFAIP3	3682.575291	2.114010396	0.394984342	5.352137211	8.69E-08	5.48E-06
LYPD2	3187.800771	1.528506714	0.285683786	5.350344636	8.78E-08	5.52E-06
TSPO	430.7261611	1.244252968	0.232765348	5.345524924	9.02E-08	5.65E-06
RGS1	679.5690571	3.109211513	0.581782715	5.344283066	9.08E-08	5.67E-06
MAP7D1	829.9138294	1.227668839	0.22991966	5.339555744	9.32E-08	5.80E-06
RN7SL396P	65.73150929	2.443139658	0.459183678	5.320615206	1.03E-07	6.39E-06
GIMAP1	171.4329404	3.157792007	0.594103853	5.315218866	1.07E-07	6.54E-06
CDK2AP2	428.3410186	1.238398242	0.232964304	5.31582831	1.06E-07	6.54E-06
U62317.2	64.70071557	4.525845536	0.85330452	5.303904329	1.13E-07	6.86E-06
MICB	133.1260343	2.860862153	0.53934331	5.304343445	1.13E-07	6.86E-06
DUSP5	1568.159316	2.820842862	0.531728435	5.305044219	1.13E-07	6.86E-06
SERPINB2	838.6574608	2.745514942	0.517946566	5.300768698	1.15E-07	6.94E-06
SPI1	1578.094807	3.436792262	0.648826638	5.296934591	1.18E-07	7.06E-06
CD53	986.7287623	3.685465626	0.696136447	5.294171341	1.20E-07	7.12E-06
LGMN	1342.790533	2.037479998	0.384823438	5.294583946	1.19E-07	7.12E-06
KCNMB1	22.7532943	5.674501812	1.072820235	5.289331451	1.23E-07	7.29E-06
HES4	270.2087017	2.211931917	0.419657713	5.270800103	1.36E-07	7.99E-06
C3AR1	315.2902572	3.440251938	0.652850876	5.269583094	1.37E-07	8.01E-06
HIST2H3D	104.1268078	2.313439999	0.439486492	5.263961555	1.41E-07	8.23E-06
RUNX3	535.5627526	2.327893275	0.442400737	5.261956139	1.43E-07	8.30E-06
HLF	576.5070388	-2.043489245	0.388551437	-5.259250253	1.45E-07	8.37E-06
ICAM1	921.5990917	2.795305881	0.531914035	5.255183539	1.48E-07	8.53E-06
NT5C3A	1826.701116	2.269820067	0.433056279	5.241397434	1.59E-07	9.16E-06
CD84	362.1789836	3.56082747	0.680656578	5.231459715	1.68E-07	9.64E-06
ATP8B4	267.9524635	-1.800772126	0.344443425	-5.22806358	1.71E-07	9.78E-06
LMF2	362.844522	1.316140876	0.252393269	5.214643322	1.84E-07	1.04E-05
ALDH16A1	387.4716181	1.251263627	0.240245142	5.208278585	1.91E-07	1.08E-05
LATS2	547.1171213	1.454166805	0.27940632	5.20448788	1.95E-07	1.09E-05
BCL3	1101.496451	2.399820874	0.461410516	5.201053709	1.98E-07	1.11E-05
MIIP	132.8682156	1.785055464	0.34358676	5.195355797	2.04E-07	1.14E-05
SRF	700.5439306	1.204284884	0.231932324	5.192397771	2.08E-07	1.15E-05
RRAD	1342.663279	1.402665196	0.270392296	5.187519087	2.13E-07	1.18E-05
HAPLN3	148.6944816	2.680759645	0.517423976	5.180972989	2.21E-07	1.22E-05
CDKN2B	482.5311695	1.714147318	0.331078898	5.177458687	2.25E-07	1.24E-05
GSTM3	49.46390419	-3.701105204	0.715996326	-5.169167868	2.35E-07	1.29E-05
SPNS2	1165.397985	2.781738522	0.538360448	5.167055884	2.38E-07	1.30E-05
CCL3	247.6673952	4.630452196	0.896671571	5.164044834	2.42E-07	1.32E-05
TLNRD1	463.6466663	1.49150732	0.289102659	5.159092364	2.48E-07	1.35E-05
JUND	1486.277641	1.52992384	0.296762581	5.155379878	2.53E-07	1.37E-05
ABHD17A	463.9518234	1.179020502	0.22872581	5.154733088	2.54E-07	1.37E-05
ACP2	677.5626554	1.316167783	0.255705672	5.147198227	2.64E-07	1.42E-05
NEXN	173.9531884	4.813410847	0.9356179	5.14463313	2.68E-07	1.44E-05
CD14	523.8799408	2.952890132	0.574068892	5.143790535	2.69E-07	1.44E-05
C4orf48	27.04459097	4.679191098	0.909963894	5.142172264	2.72E-07	1.45E-05
CCDC88B	630.6053109	2.184567469	0.425052984	5.139518014	2.75E-07	1.46E-05
GRINA	912.7255753	1.613849111	0.313962613	5.140258878	2.74E-07	1.46E-05
FMO5	160.0675784	-1.902744448	0.370233436	-5.139310131	2.76E-07	1.46E-05
BCL2L14	545.4775215	2.120244985	0.412781215	5.136486125	2.80E-07	1.47E-05
MYH7	42.90034774	5.800886519	1.129628953	5.135214095	2.82E-07	1.48E-05
GNG5	1008.1511	1.228174243	0.239703979	5.123712364	3.00E-07	1.57E-05
CD37	339.4108254	3.230606197	0.632620614	5.106703967	3.28E-07	1.69E-05
EMP3	191.5087005	2.721479687	0.53321534	5.103903592	3.33E-07	1.71E-05
GIMAP7	237.7606194	2.985268282	0.585662301	5.097251907	3.45E-07	1.77E-05
