	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000101608	313.77103015367	2.78526803936321	0.328235221251451	8.48558551621585	2.14635213787525e-17	1.72902662654577e-14	MYL12A	ENSG00000101608	MYL12A	protein_coding	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	18	3247481	3256236	1
ENSG00000175161	663.028354754728	2.7126402858839	0.323303464494961	8.3903842172597	4.84555939743679e-17	3.7407718548212e-14	CADM2	ENSG00000175161	CADM2	protein_coding	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	3	84958981	86074429	1
ENSG00000134531	8516.11685480141	-2.08948536315409	0.249386742544753	-8.37849414861789	5.36091475597319e-17	3.97308114394685e-14	EMP1	ENSG00000134531	EMP1	protein_coding	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	12	13196723	13219941	1
ENSG00000275591	118.896079641027	3.7603739374473	0.450438067102107	8.34825964341705	6.92761520498829e-17	4.93672517377012e-14	XKR5	ENSG00000275591	XKR5	protein_coding	XK related 5 [Source:HGNC Symbol;Acc:HGNC:20782]	8	6808517	6835644	-1
ENSG00000176438	738.757734374896	-1.85307986078765	0.225331237780178	-8.22380367250912	1.97148718337406e-16	1.35287831605757e-13	SYNE3	ENSG00000176438	SYNE3	protein_coding	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	14	95407266	95475836	-1
ENSG00000187172	73.2460947630594	6.45896814787923	0.788944546783593	8.18684681225247	2.68159141431814e-16	1.77444734730309e-13	NA	ENSG00000187172	BAGE2	transcribed_unprocessed_pseudogene	BAGE family member 2 [Source:HGNC Symbol;Acc:HGNC:15723]	21	10413477	10516431	1
ENSG00000267322	1227.30545898781	-1.66603475126547	0.203671283717054	-8.18001792329237	2.83801656797321e-16	1.81319899901406e-13	SCARNA17	ENSG00000267322	SNHG22	lncRNA	small nucleolar RNA host gene 22 [Source:HGNC Symbol;Acc:HGNC:50285]	18	49814023	49851059	1
ENSG00000222328	54805.3288981352	1.64783058315498	0.20329882433285	8.10546046472499	5.25461280614528e-16	3.24524886907533e-13	NA	ENSG00000222328	RNU2-2P	snRNA	RNA, U2 small nuclear 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:10152]	11	62841619	62841809	-1
ENSG00000141622	117.995407319464	3.49477180417144	0.433288492835089	8.06569263195632	7.28218137108623e-16	4.3523953691447e-13	RNF165	ENSG00000141622	RNF165	protein_coding	ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696]	18	46326809	46463140	1
ENSG00000152092	668.16511407829	2.53127753854998	0.31494843725947	8.03711731538005	9.19766014049875e-16	5.32544522134878e-13	ASTN1	ENSG00000152092	ASTN1	protein_coding	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]	1	176857302	177164973	-1
ENSG00000199568	1421.66683742336	2.15365047831159	0.269708020159689	7.98511841448562	1.40387477051341e-15	7.88211871153713e-13	RNU5A-1	ENSG00000199568	RNU5A-1	snRNA	RNA, U5A small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10211]	15	65296051	65296166	1
ENSG00000148180	7863.78215164491	-1.78667164579638	0.226656576166507	-7.88272582254067	3.20315404951098e-15	1.74553053615704e-12	GSN	ENSG00000148180	GSN	protein_coding	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	9	121207794	121332843	1
ENSG00000128591	566.383088993114	2.27090107180423	0.288957660913949	7.85894052651712	3.87396105856453e-15	2.05076429980239e-12	FLNC	ENSG00000128591	FLNC	protein_coding	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	7	128830377	128859274	1
ENSG00000112175	253.182241151331	-2.49935372223972	0.318700960949142	-7.84231624152071	4.42310725392496e-15	2.27642586668671e-12	BMP5	ENSG00000112175	BMP5	protein_coding	bone morphogenetic protein 5 [Source:HGNC Symbol;Acc:HGNC:1072]	6	55753653	55875590	-1
ENSG00000101439	9352.84346781642	-1.50922192333476	0.192799769103887	-7.82792391479235	4.95991932225065e-15	2.48371311358541e-12	CST3	ENSG00000101439	CST3	protein_coding	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	20	23626706	23638473	-1
ENSG00000149571	491.328915249574	-2.48890601063822	0.318149055396274	-7.82308156640017	5.15456816560747e-15	2.51325892032566e-12	KIRREL3	ENSG00000149571	KIRREL3	protein_coding	kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204]	11	126423358	127003460	-1
ENSG00000221676	617.600329606643	1.87803909834425	0.241961201031999	7.76173655253053	8.37742866546009e-15	3.97992303368319e-12	RNU6ATAC	ENSG00000221676	RNU6ATAC	snRNA	RNA, U6atac small nuclear (U12-dependent splicing) [Source:HGNC Symbol;Acc:HGNC:34017]	9	134164439	134164564	-1
ENSG00000144893	516.669331438142	2.25683074797843	0.291148160648646	7.75148550810165	9.08237123606256e-15	4.20695435654418e-12	MED12L	ENSG00000144893	MED12L	protein_coding	mediator complex subunit 12 like [Source:HGNC Symbol;Acc:HGNC:16050]	3	151085697	151437072	1
ENSG00000211829	1903.49103125712	-2.28181859000037	0.295428113723075	-7.7237692826326	1.12939186476595e-14	5.10374938302037e-12	NA	ENSG00000211829	TRDC	TR_C_gene	T cell receptor delta constant [Source:HGNC Symbol;Acc:HGNC:12253]	14	22462932	22465787	1
ENSG00000120162	544.390140059656	2.16999299332548	0.282055130488459	7.69350654805506	1.43156377077095e-14	6.31524132020098e-12	MOB3B	ENSG00000120162	MOB3B	protein_coding	MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825]	9	27325209	27529814	-1
ENSG00000170962	94.7027343186489	4.07829081385316	0.532443955449523	7.65956824584477	1.86559193044597e-14	7.88188426607441e-12	PDGFD	ENSG00000170962	PDGFD	protein_coding	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	11	103907189	104164379	-1
ENSG00000206585	20556.3348449729	1.91722024205688	0.250317850855277	7.65914310747791	1.87177735161525e-14	7.88188426607441e-12	RNVU1-7	ENSG00000206585	RNVU1-7	snRNA	RNA, variant U1 small nuclear 7 [Source:HGNC Symbol;Acc:HGNC:37500]	1	148038753	148038916	-1
ENSG00000146648	629.617827245253	5.43583908799742	0.713891885826414	7.61437298268883	2.64974607918632e-14	1.09098878567031e-11	EGFR	ENSG00000146648	EGFR	protein_coding	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	7	55019017	55211628	1
ENSG00000088882	2014.8452273291	1.61985709586148	0.212986375887322	7.60544935850003	2.83915663651974e-14	1.14356291655299e-11	CPXM1	ENSG00000088882	CPXM1	protein_coding	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]	20	2794074	2800627	-1
ENSG00000259070	577.592170826512	-2.36442539563241	0.312554856908263	-7.56483331924797	3.88362264060595e-14	1.53097362308823e-11	LINC00639	ENSG00000259070	LINC00639	lncRNA	long intergenic non-protein coding RNA 639 [Source:HGNC Symbol;Acc:HGNC:27502]	14	38738155	38948273	-1
ENSG00000140873	981.405434151195	-2.51795640994026	0.334004833514044	-7.53868254973736	4.74743067224364e-14	1.83250823948604e-11	ADAMTS18	ENSG00000140873	ADAMTS18	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:HGNC Symbol;Acc:HGNC:17110]	16	77247813	77435034	-1
ENSG00000046889	1328.95336648898	1.97996045931138	0.262991546659699	7.52860874982179	5.128379589967e-14	1.93915544985528e-11	PREX2	ENSG00000046889	PREX2	protein_coding	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]	8	67952046	68237032	1
ENSG00000248810	637.231137727389	2.14672146734851	0.29144883894949	7.36568886356261	1.76234425475868e-13	6.53054287043376e-11	NA	ENSG00000248810	LINC02432	lncRNA	long intergenic non-protein coding RNA 2432 [Source:HGNC Symbol;Acc:HGNC:53363]	4	141302910	141357096	-1
ENSG00000206652	122468.640323005	1.76275820559116	0.240725615597357	7.32268645867579	2.43055246249144e-13	8.83005412255714e-11	RNU1-1	ENSG00000206652	RNU1-1	snRNA	RNA, U1 small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10120]	1	16514122	16514285	-1
ENSG00000131389	263.460481761195	2.3452561449021	0.320570178565369	7.31588994147149	2.55681160307736e-13	9.11011641958026e-11	SLC6A6	ENSG00000131389	SLC6A6	protein_coding	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	3	14402576	14489349	1
ENSG00000108984	737.102246528576	1.71894089359083	0.236222671517812	7.27678204020825	3.41876939023658e-13	1.19515017476044e-10	MAP2K6	ENSG00000108984	MAP2K6	protein_coding	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	17	69414697	69553865	1
ENSG00000134376	547.212327572849	2.22226113730871	0.307041365124614	7.23766042535279	4.56490636300049e-13	1.56627009432728e-10	CRB1	ENSG00000134376	CRB1	protein_coding	crumbs cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:2343]	1	197268204	197478455	1
ENSG00000214652	246.514901249603	3.17400805600784	0.43997418994335	7.21407784492203	5.43006874830657e-13	1.82924206852044e-10	ZNF727	ENSG00000214652	ZNF727	protein_coding	zinc finger protein 727 [Source:HGNC Symbol;Acc:HGNC:22785]	7	64045434	64085339	1
ENSG00000168772	122.046115437446	2.6861305011377	0.374772460920719	7.16736361721608	7.6455769558687e-13	2.52959374711313e-10	CXXC4	ENSG00000168772	CXXC4	protein_coding	CXXC finger protein 4 [Source:HGNC Symbol;Acc:HGNC:24593]	4	104468308	104494901	-1
ENSG00000196159	84.0697509654057	3.12496067284554	0.43634989735113	7.16159369307905	7.9744482278313e-13	2.59211538184664e-10	FAT4	ENSG00000196159	FAT4	protein_coding	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	4	125316399	125492932	1
ENSG00000167306	634.568516618778	-2.35403430199315	0.329021461319095	-7.15465274683144	8.38849949401497e-13	2.67969170043292e-10	MYO5B	ENSG00000167306	MYO5B	protein_coding	myosin VB [Source:HGNC Symbol;Acc:HGNC:7603]	18	49822789	50195147	-1
ENSG00000196154	1622.03075049868	-1.71440178629571	0.239820097777468	-7.14869938834952	8.76039359278952e-13	2.75106055063058e-10	S100A4	ENSG00000196154	S100A4	protein_coding	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	1	153543613	153550136	-1
ENSG00000111341	858.420738798745	-2.76655867292649	0.388285975521939	-7.12505433452147	1.04039637696293e-12	3.21274401206154e-10	MGP	ENSG00000111341	MGP	protein_coding	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	12	14881181	14885926	-1
ENSG00000215183	260.189976871221	2.80136101346417	0.395066986563576	7.09085068795886	1.33290094565121e-12	4.04852274115174e-10	MSMP	ENSG00000215183	MSMP	protein_coding	microseminoprotein, prostate associated [Source:HGNC Symbol;Acc:HGNC:29663]	9	35752990	35756613	-1
ENSG00000285508	48.1555935494931	9.04264988227795	1.28164301036884	7.05551375002278	1.71964176517792e-12	5.1389552621317e-10	NA	ENSG00000285508	AL034430.1	protein_coding	novel protein	20	10413520	10431922	-1
ENSG00000206557	121.285378558212	2.77648533055083	0.394509694242048	7.03781268514872	1.9528095811011e-12	5.74311998708589e-10	TRIM71	ENSG00000206557	TRIM71	protein_coding	tripartite motif containing 71 [Source:HGNC Symbol;Acc:HGNC:32669]	3	32817997	32897824	1
ENSG00000202538	13005.9568042022	1.38877039045944	0.198861328831298	6.98361214129063	2.87685608703746e-12	8.32849837197343e-10	RNU4-2	ENSG00000202538	RNU4-2	snRNA	RNA, U4 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10193]	12	120291763	120291903	-1
ENSG00000184005	53.1940106770158	5.04489059660942	0.72317694098438	6.97601141671134	3.03678060960335e-12	8.65622632842013e-10	ST6GALNAC3	ENSG00000184005	ST6GALNAC3	protein_coding	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	1	76074746	76634603	1
ENSG00000109436	362.673617117586	2.16641297329321	0.31142341015325	6.95648722177672	3.48861883608953e-12	9.79350451440405e-10	TBC1D9	ENSG00000109436	TBC1D9	protein_coding	TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]	4	140620782	140756385	-1
ENSG00000141441	56.7280872765549	4.94372764935689	0.711978166777087	6.94365063431041	3.82094767260924e-12	1.05663460415081e-09	GAREM1	ENSG00000141441	GAREM1	protein_coding	GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]	18	32124877	32470882	-1
ENSG00000176595	89.7336979022353	3.67838891020922	0.530426791333829	6.93477209354266	4.06876568868205e-12	1.10861898058678e-09	KBTBD11	ENSG00000176595	KBTBD11	protein_coding	kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]	8	1973677	2006936	1
ENSG00000061337	272.152862561109	2.13718887586399	0.309187975946823	6.91226387222627	4.76979542589268e-12	1.2807937630571e-09	LZTS1	ENSG00000061337	LZTS1	protein_coding	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	8	20246165	20303963	-1
ENSG00000165973	156.842465857717	3.69519251111421	0.543200962283176	6.80262511977634	1.02729725357905e-11	2.71910907347323e-09	NELL1	ENSG00000165973	NELL1	protein_coding	neural EGFL like 1 [Source:HGNC Symbol;Acc:HGNC:7750]	11	20669551	21575681	1
ENSG00000267645	52.7365784024149	-9.15046161519666	1.35571086541602	-6.74956721866257	1.48286799126231e-11	3.86965889325465e-09	POLR2J2	ENSG00000267645	AC105052.3	protein_coding	novel protein, POLR2J2-UPK3BL readthrough	7	102637049	102671641	-1
ENSG00000038358	1090.08309026096	1.50154788613037	0.222882633638636	6.73694429044147	1.61752160754364e-11	4.16242227007896e-09	EDC4	ENSG00000038358	EDC4	protein_coding	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	16	67873052	67884499	1
ENSG00000108924	361.246539084995	2.27445603839926	0.34419613852708	6.60802311185812	3.8948589446415e-11	9.88547212689283e-09	HLF	ENSG00000108924	HLF	protein_coding	HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:4977]	17	55264960	55325187	1
ENSG00000183798	870.353463321659	1.45258594077694	0.220106819281467	6.59945905137726	4.12660708396174e-11	1.03321318988707e-08	EMILIN3	ENSG00000183798	EMILIN3	protein_coding	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]	20	41359962	41366818	-1
ENSG00000073910	842.77288822694	-2.43920284105037	0.371348749680818	-6.56849617279422	5.08259387524829e-11	1.25560399094134e-08	FRY	ENSG00000073910	FRY	protein_coding	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	13	31846713	32299122	1
ENSG00000135643	166.388181289649	2.30100642044609	0.354397276085978	6.4927316763232	8.4293746086899e-11	2.05499279933956e-08	KCNMB4	ENSG00000135643	KCNMB4	protein_coding	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	12	70366290	70434292	1
ENSG00000264346	163.69768755277	2.26855879879328	0.349664419112161	6.48781710347714	8.70889075773522e-11	2.09556270077037e-08	SNORA77B	ENSG00000264346	SNORA77B	snoRNA	small nucleolar RNA, H/ACA box 77B [Source:HGNC Symbol;Acc:HGNC:52221]	22	20126402	20126526	1
ENSG00000133216	966.190084270645	1.4608415674306	0.225755856669565	6.47089111654282	9.742662323149e-11	2.31425701952955e-08	EPHB2	ENSG00000133216	EPHB2	protein_coding	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	1	22710839	22921500	1
ENSG00000157766	30.7243619820098	5.68427191850709	0.881302161016811	6.44985587230242	1.11956571039418e-10	2.62573588382067e-08	ACAN	ENSG00000157766	ACAN	protein_coding	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	15	88803442	88875354	1
ENSG00000092421	743.141343779387	1.5543977914774	0.241304993887766	6.44163125857382	1.18196164576443e-10	2.73742317159041e-08	SEMA6A	ENSG00000092421	SEMA6A	protein_coding	semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]	5	116443616	116574934	-1
ENSG00000231806	67.5063400814677	3.67934256697587	0.571876412793736	6.43380717347917	1.24446718569436e-10	2.84660345883273e-08	PCAT7	ENSG00000231806	PCAT7	lncRNA	prostate cancer associated transcript 7 [Source:HGNC Symbol;Acc:HGNC:48824]	9	94555054	94603990	1
ENSG00000074416	206.651339197946	1.90407349448265	0.296046282058411	6.43167507878706	1.26205300661334e-10	2.85162415933316e-08	MGLL	ENSG00000074416	MGLL	protein_coding	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	3	127689062	128052190	-1
ENSG00000238622	401.297339786796	1.79428802966041	0.279705164990492	6.41492633760053	1.40890969371141e-10	3.14509383193795e-08	SNORD97	ENSG00000238622	SNORD97	snoRNA	small nucleolar RNA, C/D box 97 [Source:HGNC Symbol;Acc:HGNC:32760]	11	10801467	10801608	-1
ENSG00000006042	468.416499438387	2.50370079861569	0.390870451490542	6.40544914323428	1.49927356123976e-10	3.30696911222028e-08	TMEM98	ENSG00000006042	TMEM98	protein_coding	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	17	32927910	32945106	1
ENSG00000168679	903.942840519778	-1.62580126628671	0.255654533635059	-6.35936802359824	2.02585503416192e-10	4.41588730270024e-08	SLC16A4	ENSG00000168679	SLC16A4	protein_coding	solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]	1	110362851	110391082	-1
ENSG00000135744	508.558599815924	1.70023454401323	0.268103424955935	6.34171139101515	2.27226695472667e-10	4.89541420199717e-08	AGT	ENSG00000135744	AGT	protein_coding	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1	230702523	230714122	-1
ENSG00000152402	3206.38343485053	1.20047637089604	0.189582700279812	6.33220419966703	2.41683329267185e-10	5.14702152260046e-08	GUCY1A2	ENSG00000152402	GUCY1A2	protein_coding	guanylate cyclase 1 soluble subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4684]	11	106674012	107018524	-1
ENSG00000168477	983.577196763352	-1.76737877782639	0.281072485679034	-6.28798216786192	3.21618843946356e-10	6.77153856890692e-08	TNXB	ENSG00000168477	TNXB	protein_coding	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	6	32041153	32115334	-1
ENSG00000085117	2237.17914897113	-1.91324419986604	0.304996358458609	-6.27300669927732	3.54141662890178e-10	7.37251317980811e-08	CD82	ENSG00000085117	CD82	protein_coding	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	11	44564427	44620358	1
ENSG00000057704	68.812243946665	3.26846873369375	0.522035558481811	6.26100785777725	3.82497249489466e-10	7.87434337615648e-08	TMCC3	ENSG00000057704	TMCC3	protein_coding	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]	12	94567122	94650557	-1
ENSG00000240583	5030.43175812762	-1.39589640061684	0.223740673972644	-6.23890317228379	4.406496337116e-10	8.97182023451486e-08	AQP1	ENSG00000240583	AQP1	protein_coding	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	7	30911694	30925517	1
ENSG00000128268	240.734352751296	1.7114087933856	0.27446477729536	6.23544051899928	4.50508510478173e-10	9.07284965449955e-08	MGAT3	ENSG00000128268	MGAT3	protein_coding	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]	22	39457012	39492194	1
ENSG00000250775	36.8522818407903	6.32549068294287	1.01848630622236	6.21067818418153	5.27564171600799e-10	1.05104397542146e-07	NA	ENSG00000250775	AC093730.1	lncRNA	novel transcript	4	63465511	63529761	-1
ENSG00000212443	2772.09480575749	1.50134071218455	0.242084207318419	6.20172926113185	5.58460907350259e-10	1.10076209482826e-07	SNORA53	ENSG00000212443	SNORA53	snoRNA	small nucleolar RNA, H/ACA box 53 [Source:HGNC Symbol;Acc:HGNC:32646]	12	98599635	98599883	1
ENSG00000170035	2012.04195988032	1.36786825377049	0.221051074202838	6.18801903000628	6.09249750759612e-10	1.18753023490351e-07	UBE2E3	ENSG00000170035	UBE2E3	protein_coding	ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]	2	180967248	181076585	1
ENSG00000170627	167.319285989836	-2.13615962841621	0.345295925291168	-6.18646057469376	6.15300639846379e-10	1.18753023490351e-07	GTSF1	ENSG00000170627	GTSF1	protein_coding	gametocyte specific factor 1 [Source:HGNC Symbol;Acc:HGNC:26565]	12	54455950	54473602	-1
ENSG00000173404	181.054708675402	1.81005540829944	0.29278917457123	6.18211179067716	6.32497078515913e-10	1.20813462584978e-07	INSM1	ENSG00000173404	INSM1	protein_coding	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	20	20368104	20370949	1
