	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000067066	219.608988507457	4.35680279537207	0.425704212253776	10.2343426960851	1.39136767462385e-24	1.31451117450177e-21	SP100	ENSG00000067066	SP100	protein_coding	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	2	230415942	230545606	1
ENSG00000184985	203.634093101382	4.07644022494285	0.406419570559895	10.0301277798385	1.12371085977921e-23	1.01338288445543e-20	SORCS2	ENSG00000184985	SORCS2	protein_coding	sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	4	7192538	7742836	1
ENSG00000176641	225.863828228086	4.21447151960912	0.422388852258366	9.97770537047985	1.90828749784705e-23	1.6461053894472e-20	RNF152	ENSG00000176641	RNF152	protein_coding	ring finger protein 152 [Source:HGNC Symbol;Acc:HGNC:26811]	18	61808067	61894247	-1
ENSG00000138646	272.411679157448	3.46306043180145	0.347496821879574	9.96573267366911	2.15280632374253e-23	1.77965322762716e-20	HERC5	ENSG00000138646	HERC5	protein_coding	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]	4	88457119	88506163	1
ENSG00000075223	374.83230032456	2.9476504598136	0.29599805866115	9.95834389301852	2.31893266560476e-23	1.82651903031953e-20	SEMA3C	ENSG00000075223	SEMA3C	protein_coding	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	7	80742538	80922359	-1
ENSG00000168497	596.163803280151	4.31312847744432	0.433254208804833	9.95519117827483	2.39362372924938e-23	1.82651903031953e-20	CAVIN2	ENSG00000168497	CAVIN2	protein_coding	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	2	191834310	191847088	-1
ENSG00000237943	158.555602708715	5.37794177517601	0.5474092717941	9.82435273255446	8.84403312305052e-23	6.49872656153045e-20	NA	ENSG00000237943	PRKCQ-AS1	lncRNA	PRKCQ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44689]	10	6580419	6616921	1
ENSG00000203930	148.022544488702	3.96114375361437	0.403746833419652	9.81095930849612	1.01003726102112e-22	7.15683544952108e-20	LINC00632	ENSG00000203930	LINC00632	lncRNA	long intergenic non-protein coding RNA 632 [Source:HGNC Symbol;Acc:HGNC:27865]	X	140709562	140793215	1
ENSG00000137962	1146.92544598469	2.93696233236772	0.303562324158493	9.67498961048374	3.85130764707222e-22	2.63482564544527e-19	ARHGAP29	ENSG00000137962	ARHGAP29	protein_coding	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	1	94148988	94275068	-1
ENSG00000182240	697.156359577435	3.01528931878753	0.313804040084855	9.60882886648678	7.33788157414075e-22	4.85278568103175e-19	BACE2	ENSG00000182240	BACE2	protein_coding	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	21	41167801	41282530	1
ENSG00000154639	480.324059501735	3.05235844486067	0.319335666241878	9.55846392225004	1.19517373434009e-21	7.64911189977657e-19	CXADR	ENSG00000154639	CXADR	protein_coding	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	21	17513043	17593579	1
ENSG00000183914	285.561182931079	3.42789771515394	0.365210631096674	9.38608414782578	6.22724537918257e-21	3.8608921350932e-18	DNAH2	ENSG00000183914	DNAH2	protein_coding	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	17	7717354	7833744	1
ENSG00000113555	3528.31691194953	-2.06928830860244	0.224778498701161	-9.20589967705725	3.38820838357626e-20	2.03703194939857e-17	PCDH12	ENSG00000113555	PCDH12	protein_coding	protocadherin 12 [Source:HGNC Symbol;Acc:HGNC:8657]	5	141943585	141969741	-1
ENSG00000114270	227.69844436819	2.81473938881792	0.313167915329715	8.98795582508656	2.51871231394816e-19	1.46974271496269e-16	COL7A1	ENSG00000114270	COL7A1	protein_coding	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	3	48564073	48595267	-1
ENSG00000065675	161.225830195366	4.56427085390279	0.508011052526068	8.98458966828991	2.59701530527242e-19	1.47213667590299e-16	PRKCQ	ENSG00000065675	PRKCQ	protein_coding	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	10	6427143	6580301	-1
ENSG00000026508	562.068064771006	2.14254979104108	0.238996427716282	8.96477747183966	3.10908009382752e-19	1.71344858504272e-16	CD44	ENSG00000026508	CD44	protein_coding	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	11	35138870	35232402	1
ENSG00000164197	391.629134714952	2.56516371793525	0.289031432153514	8.87503375955597	6.99122043105868e-19	3.74880576627579e-16	RNF180	ENSG00000164197	RNF180	protein_coding	ring finger protein 180 [Source:HGNC Symbol;Acc:HGNC:27752]	5	64165843	64372869	1
ENSG00000171094	290.46864474132	2.75890604637635	0.312224689418298	8.83628406041955	9.89549777508097e-19	5.16649146993701e-16	ALK	ENSG00000171094	ALK	protein_coding	ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]	2	29192774	29921586	-1
ENSG00000162670	724.445440371678	-2.29801531471379	0.261711260400269	-8.78072770426132	1.62420332347586e-18	8.26261383019515e-16	BRINP3	ENSG00000162670	BRINP3	protein_coding	BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]	1	190097658	190478404	-1
ENSG00000101938	6032.97955993736	-2.42957568247066	0.277060764729628	-8.76910768957698	1.80087738537448e-18	8.93235183145744e-16	CHRDL1	ENSG00000101938	CHRDL1	protein_coding	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819	-1
ENSG00000044524	1475.38289679583	2.36421106840992	0.269791674851092	8.76309867498622	1.89955249176023e-18	9.19198083817634e-16	EPHA3	ENSG00000044524	EPHA3	protein_coding	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	3	89107621	89482134	1
ENSG00000160216	309.022077198462	2.88771773707358	0.330333320160264	8.74183002693333	2.29364389373853e-18	1.08347368694696e-15	AGPAT3	ENSG00000160216	AGPAT3	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	21	43865223	43987592	1
ENSG00000138821	484.739703817684	2.27394285279059	0.260668556551396	8.72350268430724	2.69725693966951e-18	1.2445018065824e-15	SLC39A8	ENSG00000138821	SLC39A8	protein_coding	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	4	102251041	102431258	-1
ENSG00000106688	823.980206368389	2.64119671929696	0.306019366323906	8.63081559518488	6.09160264700066e-18	2.74675901173848e-15	SLC1A1	ENSG00000106688	SLC1A1	protein_coding	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	9	4490468	4587469	1
ENSG00000112183	88.5024579950092	5.05236824055573	0.586793970065466	8.61012297040485	7.2982245754515e-18	3.21770612393239e-15	RBM24	ENSG00000112183	RBM24	protein_coding	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	6	17281361	17293871	1
ENSG00000268089	82.8738973179602	6.39803528432829	0.750064904185105	8.52997553762274	1.46378666199536e-17	6.31337551608435e-15	GABRQ	ENSG00000268089	GABRQ	protein_coding	gamma-aminobutyric acid type A receptor theta subunit [Source:HGNC Symbol;Acc:HGNC:14454]	X	152637895	152657542	1
ENSG00000124205	86.3948605453607	-6.18659233537282	0.735484026352605	-8.41159306484633	4.0447906147251e-17	1.70741799566268e-14	EDN3	ENSG00000124205	EDN3	protein_coding	endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]	20	59300443	59325992	1
ENSG00000163840	404.249598058074	2.48810378575757	0.299943897598419	8.29523056037891	1.08374801446836e-16	4.47949179313588e-14	DTX3L	ENSG00000163840	DTX3L	protein_coding	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	3	122564338	122575203	1
ENSG00000060718	2519.22597428996	2.82746999768112	0.345591893884929	8.18152869818925	2.80265331887166e-16	1.13478860911048e-13	COL11A1	ENSG00000060718	COL11A1	protein_coding	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	1	102876467	103108872	-1
ENSG00000118596	755.504720191523	2.33802309650975	0.287472985048794	8.13301846819765	4.18730806434449e-16	1.66152383993189e-13	SLC16A7	ENSG00000118596	SLC16A7	protein_coding	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	12	59596029	59789855	1
ENSG00000131773	2341.68553571862	-1.92545194613367	0.239277210158607	-8.0469508352148	8.48822606398006e-16	3.30208637469342e-13	KHDRBS3	ENSG00000131773	KHDRBS3	protein_coding	KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]	8	135457456	135656722	1
ENSG00000185442	99.9910295579548	3.40213065346837	0.424262965698804	8.01891969963657	1.06679214786244e-15	4.07022234876748e-13	FAM174B	ENSG00000185442	FAM174B	protein_coding	family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]	15	92617448	92809884	-1
ENSG00000172348	348.807875544373	3.4435659911615	0.431944318864712	7.97224512690036	1.55817352753575e-15	5.83286090307722e-13	RCAN2	ENSG00000172348	RCAN2	protein_coding	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	6	46220736	46491972	-1
ENSG00000147027	1155.08123921458	1.96050790896011	0.250014330058906	7.84158215450369	4.44904696609719e-15	1.63461281124756e-12	TMEM47	ENSG00000147027	TMEM47	protein_coding	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	X	34627075	34657285	-1
ENSG00000205413	841.32073199104	2.26250447587513	0.290215096642491	7.79595721259894	6.39220457238517e-15	2.30584252211131e-12	SAMD9	ENSG00000205413	SAMD9	protein_coding	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	7	93099513	93118023	-1
ENSG00000111058	605.747925445546	2.42916087926669	0.311798372386878	7.79080679822344	6.65826586321316e-15	2.35892847725266e-12	ACSS3	ENSG00000111058	ACSS3	protein_coding	acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]	12	80936414	81261210	1
ENSG00000139289	3454.09645564571	1.7072969943166	0.219985210977613	7.76096259711906	8.42871743928894e-15	2.93378515781566e-12	PHLDA1	ENSG00000139289	PHLDA1	protein_coding	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	12	76025447	76033932	-1
ENSG00000104361	101.407661023392	3.31448062690001	0.427745862329189	7.74871464296998	9.28273568238993e-15	3.17533579204511e-12	NIPAL2	ENSG00000104361	NIPAL2	protein_coding	NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854]	8	98189826	98294393	-1
ENSG00000124570	631.256345716679	2.27491310965461	0.294209469168955	7.73229058901636	1.05628487914596e-14	3.55198169529761e-12	SERPINB6	ENSG00000124570	SERPINB6	protein_coding	serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	6	2948159	2972165	-1
ENSG00000170088	409.876050161772	2.00491471260063	0.259742880678334	7.71884375565819	1.17389694261282e-14	3.88168589023972e-12	TMEM192	ENSG00000170088	TMEM192	protein_coding	transmembrane protein 192 [Source:HGNC Symbol;Acc:HGNC:26775]	4	165070608	165208549	-1
ENSG00000196116	184.290503199877	3.01263458469301	0.392040423574129	7.68449987179286	1.53595830475623e-14	4.99564143710878e-12	TDRD7	ENSG00000196116	TDRD7	protein_coding	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	9	97412096	97496125	1
ENSG00000129910	179.130844440212	-3.16127921109405	0.412033222852956	-7.67238910786141	1.68821895683822e-14	5.4023006618823e-12	CDH15	ENSG00000129910	CDH15	protein_coding	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	16	89171767	89195492	1
ENSG00000120708	11485.2696047713	1.62612009195147	0.212259665285342	7.66099432864682	1.8449900671423e-14	5.81025443366718e-12	TGFBI	ENSG00000120708	TGFBI	protein_coding	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	5	136028988	136063818	1
ENSG00000172020	1431.82094402279	2.45587677487176	0.323537375526682	7.59070500239387	3.18169570523254e-14	9.86325668622087e-12	GAP43	ENSG00000172020	GAP43	protein_coding	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	3	115623324	115721490	1
ENSG00000130193	87.2806575735228	-4.10986442625801	0.545369941849135	-7.53592031919302	4.84902622446239e-14	1.48007200451283e-11	THEM6	ENSG00000130193	THEM6	protein_coding	thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]	8	142727223	142736927	1
ENSG00000125848	923.517880714511	2.03302720520059	0.271771512914008	7.48064866476225	7.39566525033709e-14	2.22318179646497e-11	FLRT3	ENSG00000125848	FLRT3	protein_coding	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	20	14322985	14337614	-1
ENSG00000074964	225.311457132966	2.55865097248049	0.342221886973992	7.47658484121135	7.62789049188052e-14	2.25876637849119e-11	ARHGEF10L	ENSG00000074964	ARHGEF10L	protein_coding	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	1	17539698	17697874	1
ENSG00000178031	461.877534976396	2.36911318848291	0.317177592656044	7.46935862853351	8.05866340417512e-14	2.35123355792404e-11	ADAMTSL1	ENSG00000178031	ADAMTSL1	protein_coding	ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]	9	17906563	18910950	1
ENSG00000105894	4387.68858475514	2.00977241345254	0.269523502900798	7.456761253924	8.86751719834704e-14	2.54973248137979e-11	PTN	ENSG00000105894	PTN	protein_coding	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	7	137227341	137343865	-1
ENSG00000113212	147.222722603678	-3.57832167734126	0.480987285891669	-7.43953485320855	1.01040440763853e-13	2.8637747782212e-11	PCDHB7	ENSG00000113212	PCDHB7	protein_coding	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	5	141172619	141176383	1
ENSG00000138795	1035.14100919976	1.82423617289388	0.245779562215004	7.42224518773481	1.15151384959034e-13	3.21775137688344e-11	LEF1	ENSG00000138795	LEF1	protein_coding	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	4	108047545	108168956	-1
ENSG00000065809	542.348124424576	2.03798160340068	0.274674112767359	7.4196347914548	1.17443722349951e-13	3.23622701586531e-11	FAM107B	ENSG00000065809	FAM107B	protein_coding	family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]	10	14518557	14774897	-1
ENSG00000072832	630.581051876476	1.80292160022758	0.243676808829378	7.39882309231153	1.37396747217711e-13	3.73418008876629e-11	CRMP1	ENSG00000072832	CRMP1	protein_coding	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	4	5748084	5893058	-1
ENSG00000204442	239.174259836659	2.85476167137308	0.386795161725959	7.38055165590632	1.57635001227569e-13	4.22632219507428e-11	FAM155A	ENSG00000204442	FAM155A	protein_coding	family with sequence similarity 155 member A [Source:HGNC Symbol;Acc:HGNC:33877]	13	107163510	107866735	-1
ENSG00000221963	709.672803064046	2.19968680275654	0.30196315719357	7.28461982978427	3.22578645335075e-13	8.53328043126385e-11	APOL6	ENSG00000221963	APOL6	protein_coding	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	22	35648446	35668404	1
ENSG00000148848	2854.82867887131	1.47736377769501	0.203182869289363	7.27110402004917	3.56561233217446e-13	9.30812482504491e-11	ADAM12	ENSG00000148848	ADAM12	protein_coding	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	10	126012381	126388455	-1
ENSG00000125266	831.748469932472	1.87498649406727	0.261665866774765	7.16557538504329	7.74605171365054e-13	1.99586579219255e-10	EFNB2	ENSG00000125266	EFNB2	protein_coding	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	13	106489745	106535662	-1
ENSG00000113494	105.727774021088	-3.89874791042844	0.544386860595806	-7.16172301837234	7.9669271060937e-13	2.02645940749871e-10	PRLR	ENSG00000113494	PRLR	protein_coding	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	5	35048756	35230487	-1
ENSG00000188906	278.343187488531	2.12428131249244	0.298169222058343	7.12441511510796	1.04523582488032e-12	2.62499731210451e-10	LRRK2	ENSG00000188906	LRRK2	protein_coding	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	12	40196744	40369285	1
ENSG00000088882	420.439036603729	-2.28941187516081	0.321898175493251	-7.11222383181483	1.14187870060394e-12	2.83185917749777e-10	CPXM1	ENSG00000088882	CPXM1	protein_coding	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]	20	2794074	2800627	-1
ENSG00000060982	5764.50236853046	1.52586246837527	0.214634567105801	7.10911801836244	1.16786851852955e-12	2.86055696390449e-10	BCAT1	ENSG00000060982	BCAT1	protein_coding	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	12	24810024	24949101	-1
ENSG00000196954	109.739575066732	2.91827939406288	0.411764732142692	7.08724950501973	1.36803613340923e-12	3.30998010815112e-10	CASP4	ENSG00000196954	CASP4	protein_coding	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	11	104942866	104969366	-1
ENSG00000103966	489.395783156481	1.81624399366059	0.256494046113444	7.08103763491373	1.43079035027968e-12	3.4201060903071e-10	EHD4	ENSG00000103966	EHD4	protein_coding	EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]	15	41895933	41972557	-1
ENSG00000111252	1041.63732981102	2.0042211404121	0.28467223191261	7.04045184507972	1.91617425427603e-12	4.42056944242284e-10	SH2B3	ENSG00000111252	SH2B3	protein_coding	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	12	111405948	111451623	1
ENSG00000196376	836.922013359166	1.84036294256595	0.261369711584692	7.04122498130243	1.90557028731404e-12	4.42056944242284e-10	SLC35F1	ENSG00000196376	SLC35F1	protein_coding	solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]	6	117907264	118317676	1
ENSG00000270866	102.030120437545	-2.79401890648722	0.396805582291365	-7.04127923390865	1.9048283496863e-12	4.42056944242284e-10	NA	ENSG00000270866	AC067773.1	lncRNA	novel transcript	8	76403998	76405091	1
ENSG00000154277	5427.34677566342	1.41146917349345	0.202852468719557	6.9581069552809	3.44875357926488e-12	7.86474379455348e-10	UCHL1	ENSG00000154277	UCHL1	protein_coding	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	4	41256413	41268455	1
ENSG00000166750	84.5807063568518	3.3971388102198	0.488830695395611	6.94952023720706	3.66530544336281e-12	8.26359772685434e-10	SLFN5	ENSG00000166750	SLFN5	protein_coding	schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]	17	35243071	35273655	1
ENSG00000007171	3131.37979049477	1.49161606293289	0.215883014878587	6.90937202156351	4.86803806951675e-12	1.08026764363354e-09	NOS2	ENSG00000007171	NOS2	protein_coding	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	17	27756766	27800499	-1
ENSG00000145391	1753.59262397883	1.37343392972988	0.198805457784464	6.90843171528467	4.90040765761184e-12	1.08026764363354e-09	SETD7	ENSG00000145391	SETD7	protein_coding	SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]	4	139495941	139606699	-1
ENSG00000114861	946.388099203067	1.77284781557766	0.256939550440249	6.89986346025747	5.20525454828515e-12	1.13485989272503e-09	FOXP1	ENSG00000114861	FOXP1	protein_coding	forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]	3	70952817	71583993	-1
ENSG00000164023	65.1716882107236	4.52018446586948	0.656082106435113	6.88966277472549	5.59248005432613e-12	1.20603048128077e-09	SGMS2	ENSG00000164023	SGMS2	protein_coding	sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]	4	107824563	107915047	1
ENSG00000173114	261.07995296241	2.24624426093205	0.326186153513391	6.8863875328167	5.72269636483699e-12	1.22084189116523e-09	LRRN3	ENSG00000173114	LRRN3	protein_coding	leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]	7	111091006	111125454	1
ENSG00000123096	131.607352311348	3.60008749838105	0.524138202518449	6.86858443266084	6.48420918924798e-12	1.36106255165347e-09	SSPN	ENSG00000123096	SSPN	protein_coding	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	12	26121991	26299290	1
ENSG00000198300	1230.03330661594	-8.44408924134881	1.22950795065729	-6.86786062410956	6.51718459713104e-12	1.36106255165347e-09	PEG3	ENSG00000198300	PEG3	protein_coding	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	19	56810077	56840728	-1
ENSG00000138496	327.898970427708	2.65493274662108	0.388671474675298	6.83078877563385	8.44489991484797e-12	1.74527931573525e-09	PARP9	ENSG00000138496	PARP9	protein_coding	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	3	122527924	122564577	-1
ENSG00000128606	233.880371932307	-2.09464348460693	0.307215745493115	-6.81815146305344	9.22193891896821e-12	1.88621925930236e-09	LRRC17	ENSG00000128606	LRRC17	protein_coding	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	7	102913000	102945111	1
ENSG00000187122	1165.12010734802	1.75927656672085	0.258351527355772	6.80962324754587	9.78546697503319e-12	1.98105780392509e-09	SLIT1	ENSG00000187122	SLIT1	protein_coding	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	10	96998038	97185959	-1
